time	I(R10)
1.605290235998503e-02	-3.607784e-02
1.605501257114322e-02	-3.525145e-02
1.605743295727231e-02	-3.429594e-02
1.605985334340140e-02	-3.333388e-02
1.606076931586106e-02	-3.296783e-02
1.606158100552435e-02	-3.264210e-02
1.606238548604339e-02	-3.231839e-02
1.606320743480111e-02	-3.198672e-02
1.606440134395324e-02	-3.150312e-02
1.606633465939718e-02	-3.071640e-02
1.606852471538537e-02	-2.982004e-02
1.607094510151445e-02	-2.882303e-02
1.607336548764354e-02	-2.781968e-02
1.607550639430597e-02	-2.692673e-02
1.607773787922768e-02	-2.599070e-02
1.607981373737289e-02	-2.511521e-02
1.608223412350197e-02	-2.408891e-02
1.608465450963106e-02	-2.305797e-02
1.608567148348228e-02	-2.262325e-02
1.608645936513061e-02	-2.228554e-02
1.608724936841997e-02	-2.194631e-02
1.608815681885249e-02	-2.155595e-02
1.608931904188688e-02	-2.105479e-02
1.609120205207062e-02	-2.024043e-02
1.609351255692571e-02	-1.923758e-02
1.609593294305480e-02	-1.818289e-02
1.609835332918388e-02	-1.712413e-02
1.610050464147889e-02	-1.617967e-02
1.610272272146283e-02	-1.520274e-02
1.610479775143773e-02	-1.428602e-02
1.610721813756681e-02	-1.321361e-02
1.610963852369590e-02	-1.213861e-02
1.611066552693266e-02	-1.168164e-02
1.611145195555552e-02	-1.133122e-02
1.611224771611884e-02	-1.097633e-02
1.611315620420451e-02	-1.057082e-02
1.611431804235770e-02	-1.005163e-02
1.611620044084627e-02	-9.209301e-03
1.611862082697536e-02	-8.124508e-03
1.612104121310444e-02	-7.037929e-03
1.612346159923353e-02	-5.949740e-03
1.612555905199895e-02	-5.005569e-03
1.612778386485656e-02	-4.003065e-03
1.612987563690822e-02	-3.059761e-03
1.613229602303731e-02	-1.967618e-03
1.613471640916640e-02	-8.761939e-04
1.613569453818856e-02	-4.345237e-04
1.613678207818669e-02	5.752700e-05
1.613783508758762e-02	5.337055e-04
1.613902314189629e-02	1.070592e-03
1.613983621339684e-02	1.437821e-03
1.614102914053070e-02	1.976276e-03
1.614200444595794e-02	2.416219e-03
1.614361684206810e-02	3.143000e-03
1.614603722819719e-02	4.232889e-03
1.614845761432627e-02	5.321458e-03
1.615053602560752e-02	6.254910e-03
1.615274848206038e-02	7.247094e-03
1.615483694656519e-02	8.182146e-03
1.615725733269428e-02	9.263792e-03
1.615967771882337e-02	1.034356e-02
1.616068012959672e-02	1.079006e-02
1.616147011963743e-02	1.114151e-02
1.616225176696062e-02	1.148894e-02
1.616315771108587e-02	1.189122e-02
1.616432049281594e-02	1.240688e-02
1.616606195161286e-02	1.317777e-02
1.616848233774195e-02	1.424662e-02
1.617090272387103e-02	1.531233e-02
1.617332311000012e-02	1.637453e-02
1.617549504959442e-02	1.732443e-02
1.617772423796156e-02	1.829595e-02
1.617979542518459e-02	1.919527e-02
1.618221581131367e-02	2.024197e-02
1.618463619744276e-02	2.128484e-02
1.618566466005086e-02	2.172657e-02
1.618645087717504e-02	2.206342e-02
1.618724747566022e-02	2.240410e-02
1.618815611475451e-02	2.279196e-02
1.618931789689555e-02	2.328662e-02
1.619120020636223e-02	2.408534e-02
1.619347455927551e-02	2.504618e-02
1.619589494540460e-02	2.606332e-02
1.619831533153368e-02	2.707469e-02
1.620048573081034e-02	2.797628e-02
1.620269994127400e-02	2.889066e-02
1.620476883407176e-02	2.973980e-02
1.620718922020084e-02	3.072673e-02
1.620960960632993e-02	3.170786e-02
1.621065474911041e-02	3.212939e-02
1.621143854758807e-02	3.244426e-02
1.621224472666037e-02	3.276721e-02
1.621315509212311e-02	3.313083e-02
1.621431623390524e-02	3.359279e-02
1.621619752560573e-02	3.433731e-02
1.621856430737397e-02	3.526765e-02
1.622098469350305e-02	3.621141e-02
1.622340507963214e-02	3.714713e-02
1.622553084124529e-02	3.796183e-02
1.622775450986240e-02	3.880671e-02
1.622983768906757e-02	3.959117e-02
1.623225807519666e-02	4.049398e-02
1.623467846132574e-02	4.138917e-02
1.623568040616484e-02	4.175707e-02
1.623647046363386e-02	4.204556e-02
1.623725184368769e-02	4.232975e-02
1.623815773962735e-02	4.265786e-02
1.623932053922933e-02	4.307669e-02
1.624120446572818e-02	4.375022e-02
1.624354347522807e-02	4.457855e-02
1.624596386135715e-02	4.542606e-02
1.624838424748624e-02	4.626351e-02
1.625052027816421e-02	4.699365e-02
1.625273243272100e-02	4.774077e-02
1.625481249144300e-02	4.843463e-02
1.625723287757209e-02	4.923148e-02
1.625965326370117e-02	5.001904e-02
1.626067101927322e-02	5.034690e-02
1.626145878769811e-02	5.059873e-02
1.626224923964853e-02	5.085003e-02
1.626315677095038e-02	5.113690e-02
1.626431896398945e-02	5.150148e-02
1.626620192650190e-02	5.208619e-02
1.626850140104643e-02	5.279104e-02
1.627092178717551e-02	5.352160e-02
1.627334217330460e-02	5.424032e-02
1.627549910379421e-02	5.487019e-02
1.627772647038132e-02	5.550997e-02
1.627979958409513e-02	5.609538e-02
1.628221997022422e-02	5.676664e-02
1.628464035635330e-02	5.742718e-02
1.628566620985858e-02	5.770331e-02
1.628645280509319e-02	5.791279e-02
1.628724790555252e-02	5.812295e-02
1.628815627467326e-02	5.836115e-02
1.628931815695280e-02	5.866266e-02
1.629120062557257e-02	5.914424e-02
1.629358717369742e-02	5.974383e-02
1.629600755982651e-02	6.033896e-02
1.629842794595560e-02	6.092066e-02
1.630054223565616e-02	6.141719e-02
1.630275419972213e-02	6.192484e-02
1.630484113343396e-02	6.239257e-02
1.630726151956304e-02	6.292143e-02
1.630968190569213e-02	6.343842e-02
1.631068168909766e-02	6.364786e-02
1.631147205933905e-02	6.381095e-02
1.631225219960910e-02	6.397024e-02
1.631315787202531e-02	6.415308e-02
1.631432075453134e-02	6.438436e-02
1.631620481278330e-02	6.475163e-02
1.631847569465407e-02	6.518307e-02
1.632089608078315e-02	6.562895e-02
1.632331646691224e-02	6.606031e-02
1.632548607400945e-02	6.643394e-02
1.632771599749179e-02	6.680501e-02
1.632978488312803e-02	6.713718e-02
1.633220526925712e-02	6.751116e-02
1.633462565538621e-02	6.787237e-02
1.633566073123720e-02	6.802224e-02
1.633644598971595e-02	6.813330e-02
1.633724638589611e-02	6.824460e-02
1.633815570936317e-02	6.836881e-02
1.633931723765407e-02	6.852376e-02
1.634119914366447e-02	6.876674e-02
1.634358221191606e-02	6.906176e-02
1.634600259804515e-02	6.934640e-02
1.634842298417423e-02	6.961561e-02
1.635053976286196e-02	6.983775e-02
1.635275293585254e-02	7.005656e-02
1.635483908671507e-02	7.025009e-02
1.635725947284416e-02	7.045932e-02
1.635967985897325e-02	7.065524e-02
1.636068092675620e-02	7.073166e-02
1.636147111114494e-02	7.078924e-02
1.636225198811368e-02	7.084425e-02
1.636315779335190e-02	7.090575e-02
1.636432062659477e-02	7.098087e-02
1.636620460655661e-02	7.109433e-02
1.636849715900859e-02	7.121995e-02
1.637091754513767e-02	7.133726e-02
1.637333793126676e-02	7.143877e-02
1.637549695295249e-02	7.151531e-02
1.637772656429662e-02	7.158040e-02
1.637979895144698e-02	7.162792e-02
1.638221933757606e-02	7.166782e-02
1.638463972370515e-02	7.169417e-02
1.638566597410869e-02	7.170051e-02
1.638645251182858e-02	7.170258e-02
1.638724784015881e-02	7.170270e-02
1.638815625034701e-02	7.170050e-02
1.638931811739387e-02	7.169379e-02
1.639120056180393e-02	7.167452e-02
1.639355744256293e-02	7.163739e-02
1.639597782869202e-02	7.158376e-02
1.639839821482111e-02	7.151421e-02
1.640052731567142e-02	7.143927e-02
1.640274162709856e-02	7.134754e-02
1.640482387698236e-02	7.124835e-02
1.640724426311144e-02	7.111753e-02
1.640966464924053e-02	7.097325e-02
1.641067526106044e-02	7.090832e-02
1.641146406399204e-02	7.085488e-02
1.641225041634118e-02	7.079969e-02
1.641315720867056e-02	7.073374e-02
1.641431967580054e-02	7.064536e-02
1.641620307391958e-02	7.049394e-02
1.641853544770918e-02	7.029381e-02
1.642095583383827e-02	7.007097e-02
1.642337621996736e-02	6.983256e-02
