Freq.	V(out)	V(s)
1.00000000000000e+02	5.31497828599100e+01	5.31774415464169e+01
1.07977516232771e+02	5.26338843282475e+01	5.26623479502922e+01
1.16591440117983e+02	5.21072495343942e+01	5.21364445255869e+01
1.25892541179417e+02	5.15719295518120e+01	5.16017856988964e+01
1.35935639087853e+02	5.10299843813773e+01	5.10604359406635e+01
1.46779926762207e+02	5.04834721101600e+01	5.05144586482815e+01
1.58489319246111e+02	4.99344426169074e+01	4.99659096243851e+01
1.71132830416178e+02	4.93849343540534e+01	4.94168336885400e+01
1.84784979742229e+02	4.88369725376792e+01	4.88692627564765e+01
1.99526231496888e+02	4.82925669841077e+01	4.83252136241402e+01
2.15443469003188e+02	4.77537078337986e+01	4.77866836929988e+01
2.32630506715363e+02	4.72223575007786e+01	4.72556429686936e+01
2.51188643150958e+02	4.67004373914099e+01	4.67340208693031e+01
2.71227257933203e+02	4.61898082694925e+01	4.62236867114730e+01
2.92864456462524e+02	4.56922436239472e+01	4.57264232207354e+01
3.16227766016838e+02	4.52093960263850e+01	4.52438930422029e+01
3.41454887383360e+02	4.47427572290862e+01	4.47775989899833e+01
3.68694506451957e+02	4.42936135938144e+01	4.43288396128793e+01
3.98107170553497e+02	4.38629992636366e+01	4.38986624756345e+01
4.29866234708228e+02	4.34516501673322e+01	4.34878182331478e+01
4.64158883361278e+02	4.30599623433542e+01	4.30967189739074e+01
5.01187233627272e+02	4.26879580756158e+01	4.27254043160084e+01
5.41169526546464e+02	4.23352628943958e+01	4.23735183016785e+01
5.84341413373517e+02	4.20010956464856e+01	4.20402992876692e+01
6.30957344480193e+02	4.16842727043408e+01	4.17245838937291e+01
6.81292069057961e+02	4.13832261572210e+01	4.14248248424838e+01
7.35642254459641e+02	4.10960347224738e+01	4.11391214165209e+01
7.94328234724281e+02	4.08204653133257e+01	4.08652604548721e+01
8.57695898590894e+02	4.05540228033297e+01	4.06007654159022e+01
9.26118728128793e+02	4.02940055396448e+01	4.03429510515812e+01
1.00000000000000e+03	4.00375644876218e+01	4.00889815809580e+01
1.07977516232771e+03	3.97817643856827e+01	3.98359307670033e+01
1.16591440117983e+03	3.95236457800825e+01	3.95808428179295e+01
1.25892541179417e+03	3.92602871433272e+01	3.93207933983008e+01
1.35935639087853e+03	3.89888663613002e+01	3.90529501452454e+01
1.46779926762207e+03	3.87067206791921e+01	3.87746319106691e+01
1.58489319246111e+03	3.84114037793570e+01	3.84833655380656e+01
1.71132830416178e+03	3.81007381466509e+01	3.81769384471094e+01
1.84784979742229e+03	3.77728604224808e+01	3.78534448014265e+01
1.99526231496888e+03	3.74262572271354e+01	3.75113227467848e+01
2.15443469003188e+03	3.70597890728305e+01	3.71493802696612e+01
2.32630506715363e+03	3.66727005527313e+01	3.67668077100751e+01
2.51188643150958e+03	3.62646159306623e+01	3.63631758414382e+01
2.71227257933203e+03	3.58355204344042e+01	3.59384195802871e+01
2.92864456462524e+03	3.53857287721251e+01	3.54928086167372e+01
3.16227766016838e+03	3.49158434352631e+01	3.50269073482092e+01
3.41454887383360e+03	3.44267060532093e+01	3.45415272740842e+01
3.68694506451957e+03	3.39193453372359e+01	3.40376753628733e+01
3.98107170553497e+03	3.33949249976500e+01	3.35165018242991e+01
4.29866234708228e+03	3.28546945214399e+01	3.29792502767287e+01
4.64158883361278e+03	3.22999449858693e+01	3.24272126183511e+01
5.01187233627272e+03	3.17319712941253e+01	3.18616901267467e+01
5.41169526546464e+03	3.11520414695943e+01	3.12839615486970e+01
5.84341413373518e+03	3.05613730161458e+01	3.06952582880036e+01
6.30957344480193e+03	2.99611158830050e+01	3.00967463008239e+01
6.81292069057961e+03	2.93523412699582e+01	2.94895139766822e+01
7.35642254459641e+03	2.87360353535492e+01	2.88745651040705e+01
7.94328234724281e+03	2.81130969767441e+01	2.82528159631329e+01
8.57695898590894e+03	2.74843383890251e+01	2.76250956201578e+01
9.26118728128794e+03	2.68504882194463e+01	2.69921485871511e+01
1.00000000000000e+04	2.62121959861831e+01	2.63546391277903e+01
1.07977516232771e+04	2.55700375736981e+01	2.57131566185342e+01
1.16591440117983e+04	2.49245212304226e+01	2.50682214970884e+01
1.25892541179417e+04	2.42760937486388e+01	2.44202914418233e+01
1.35935639087853e+04	2.36251465807981e+01	2.37697675212288e+01
1.46779926762207e+04	2.29720217221993e+01	2.31170001310894e+01
