Temps	Canal A	Canal B
(ms)	(mV)	(V)

-4.70493679	-148.03000000	4.08154500
-4.70237679	-148.03000000	4.08154500
-4.69981679	-143.55910000	4.08154500
-4.69725679	-139.07280000	4.08154500
-4.69469679	-143.55910000	4.08154500
-4.69213679	-139.07280000	4.08154500
-4.68957679	-134.58660000	4.08154500
-4.68701679	-143.55910000	4.08154500
-4.68445679	-130.10040000	4.12625500
-4.68189679	-130.10040000	4.08154500
-4.67933679	-125.62940000	4.08154500
-4.67677679	-121.14320000	4.03668300
-4.67421679	-125.62940000	4.08154500
-4.67165679	-121.14320000	4.08154500
-4.66909679	-116.65700000	4.03668300
-4.66653679	-112.18600000	4.03668300
-4.66397679	-112.18600000	4.03668300
-4.66141679	-107.69980000	4.03668300
-4.65885679	-107.69980000	4.03668300
-4.65629679	-103.21360000	3.99197400
-4.65373679	-103.21360000	3.99197400
-4.65117679	-89.77020000	3.99197400
-4.64861679	-98.72737000	3.99197400
-4.64605679	-89.77020000	3.94711100
-4.64349679	-89.77020000	3.99197400
-4.64093679	-89.77020000	3.99197400
-4.63837679	-85.28397000	3.94711100
-4.63581679	-80.81301000	3.94711100
-4.63325679	-85.28397000	3.90240200
-4.63069679	-76.32679000	3.90240200
-4.62813679	-76.32679000	3.85754000
-4.62557679	-71.84057000	3.85754000
-4.62301679	-67.36961000	3.81283000
-4.62045679	-62.88339000	3.81283000
-4.61789679	-62.88339000	3.76796800
-4.61533679	-58.39716000	3.72325800
-4.61277679	-58.39716000	3.76796800
-4.61021679	-53.91095000	3.72325800
-4.60765679	-49.43998000	3.72325800
-4.60509679	-49.43998000	3.72325800
-4.60253679	-49.43998000	3.72325800
-4.59997679	-40.46754000	3.63368600
-4.59741679	-35.99658000	3.63368600
-4.59485679	-35.99658000	3.63368600
-4.59229679	-31.51036000	3.54411500
-4.58973679	-27.02414000	3.54411500
-4.58717679	-22.55318000	3.54411500
-4.58461679	-22.55318000	3.49925200
-4.58205679	-18.06696000	3.45439000
-4.57949679	-18.06696000	3.45439000
-4.57693679	-9.09451500	3.45439000
-4.57437679	-9.09451500	3.40968000
-4.57181679	-4.62355400	3.40968000
-4.56925679	-0.13733330	3.36481800
-4.56669679	-0.13733330	3.36481800
-4.56413679	8.81984900	3.32010900
-4.56157679	4.34888700	3.32010900
-4.55901679	13.30607000	3.27524600
-4.55645679	-4.62355400	3.27524600
-4.55389679	13.30607000	3.27524600
-4.55133679	13.30607000	3.27524600
-4.54877679	17.79229000	3.23053700
-4.54621679	22.26325000	3.18567500
-4.54365679	26.73421000	3.18567500
-4.54109679	31.22043000	3.14096500
-4.53853679	26.73421000	3.14096500
-4.53597679	35.70665000	3.14096500
-4.53341679	40.17762000	3.09610300
-4.53085679	40.17762000	3.00653100
-4.52829679	49.15006000	3.00653100
-4.52573679	49.15006000	3.00653100
-4.52317679	53.62102000	2.96182100
-4.52061679	67.07968000	2.91695900
-4.51805679	58.10724000	2.96182100
-4.51549679	62.59346000	2.91695900
-4.51293679	62.59346000	2.87225000
-4.51037679	67.07968000	2.87225000
-4.50781679	71.55064000	2.82738700
-4.50525679	76.03686000	2.78267800
-4.50269679	76.03686000	2.78267800
-4.50013679	76.03686000	2.73781500
-4.49757679	84.99404000	2.69295300
-4.49501679	84.99404000	2.64824400
-4.49245679	84.99404000	2.64824400
-4.48989679	89.48026000	2.60338100
-4.48733679	93.96648000	2.60338100
-4.48477679	98.43745000	2.60338100
-4.48221679	98.43745000	2.55867200
-4.47965679	98.43745000	2.55867200
-4.47709679	102.92370000	2.55867200
-4.47453679	107.40990000	2.46910000
-4.47197679	111.89610000	2.46910000
-4.46941679	116.36710000	2.42423800
-4.46685679	116.36710000	2.37952800
-4.46429679	120.85330000	2.33466600
-4.46173679	125.33950000	2.33466600
-4.45917679	125.33950000	2.28995600
-4.45661679	125.33950000	2.28995600
-4.45405679	129.81050000	2.28995600
-4.45149679	129.81050000	2.24509400
-4.44893679	134.29670000	2.20038500
-4.44637679	138.78290000	2.20038500
-4.44381679	138.78290000	2.15552200
-4.44125679	143.25390000	2.11081300
-4.43869679	147.74010000	2.11081300
-4.43613679	147.74010000	2.06595000
-4.43357679	152.22630000	2.02108800
-4.43101679	152.22630000	1.97637900
-4.42845679	147.74010000	2.02108800
-4.42589679	161.18350000	1.93151600
-4.42333679	156.71250000	1.93151600
