time	V(out)
2.411978679518039e-01	5.850354e-01
2.412040918018501e-01	5.848067e-01
2.412096241130023e-01	5.846031e-01
2.412151564241545e-01	5.843992e-01
2.412206887353066e-01	5.841951e-01
2.412262210464588e-01	5.839907e-01
2.412317533576110e-01	5.837860e-01
2.412372856687632e-01	5.835810e-01
2.412428179799153e-01	5.833758e-01
2.412483502910675e-01	5.831702e-01
2.412538826022197e-01	5.829644e-01
2.412594149133719e-01	5.827582e-01
2.412649472245240e-01	5.825518e-01
2.412704795356762e-01	5.823452e-01
2.412760118468284e-01	5.821382e-01
2.412815441579806e-01	5.819310e-01
2.412905341636029e-01	5.815936e-01
2.412995241692251e-01	5.812555e-01
2.413085141748474e-01	5.809167e-01
2.413175041804697e-01	5.805771e-01
2.413264941860920e-01	5.802368e-01
2.413354841917142e-01	5.798957e-01
2.413444741973365e-01	5.795539e-01
2.413558845890879e-01	5.791190e-01
2.413672949808393e-01	5.786829e-01
2.413787053725906e-01	5.782456e-01
2.413901157643420e-01	5.778072e-01
2.414015261560933e-01	5.773675e-01
2.414129365478447e-01	5.769267e-01
2.414243469395961e-01	5.764846e-01
2.414329911757713e-01	5.761490e-01
2.414416354119466e-01	5.758126e-01
2.414502796481219e-01	5.754756e-01
2.414589238842971e-01	5.751379e-01
2.414675681204724e-01	5.747995e-01
2.414762123566477e-01	5.744605e-01
2.414848565928230e-01	5.741208e-01
2.414910804428692e-01	5.738757e-01
2.414973042929154e-01	5.736303e-01
2.415035281429616e-01	5.733846e-01
2.415097519930077e-01	5.731385e-01
2.415159758430539e-01	5.728921e-01
2.415221996931001e-01	5.726454e-01
2.415284235431463e-01	5.723982e-01
2.415349931626395e-01	5.721370e-01
2.415415627821327e-01	5.718754e-01
2.415481324016260e-01	5.716133e-01
2.415547020211191e-01	5.713509e-01
2.415612716406124e-01	5.710881e-01
2.415678412601056e-01	5.708249e-01
2.415744108795988e-01	5.705613e-01
2.415802889601980e-01	5.703252e-01
2.415861670407971e-01	5.700887e-01
2.415920451213963e-01	5.698519e-01
2.415979232019955e-01	5.696149e-01
2.416038012825947e-01	5.693775e-01
2.416096793631939e-01	5.691397e-01
2.416155574437931e-01	5.689017e-01
2.416228186021803e-01	5.686072e-01
2.416276593744384e-01	5.684106e-01
2.416325001466966e-01	5.682139e-01
2.416347668527747e-01	5.681217e-01
2.416368152574758e-01	5.680383e-01
2.416377695419638e-01	5.679994e-01
2.416389363599304e-01	5.679519e-01
2.416396552021615e-01	5.679227e-01
2.416454062543204e-01	5.676882e-01
2.416511573064793e-01	5.674535e-01
2.416569083586382e-01	5.672185e-01
2.416626594107971e-01	5.669832e-01
2.416684104629560e-01	5.667476e-01
2.416741615151149e-01	5.665116e-01
2.416799125672738e-01	5.662754e-01
2.416875194951080e-01	5.659625e-01
2.416951264229422e-01	5.656492e-01
2.417027333507765e-01	5.653352e-01
2.417103402786107e-01	5.650208e-01
2.417179472064450e-01	5.647059e-01
2.417255541342792e-01	5.643904e-01
2.417331610621134e-01	5.640744e-01
2.417369645260306e-01	5.639162e-01
2.417407679899477e-01	5.637579e-01
2.417445714538648e-01	5.635995e-01
2.417483749177819e-01	5.634409e-01
2.417521783816990e-01	5.632822e-01
2.417559818456161e-01	5.631234e-01
2.417597853095333e-01	5.629644e-01
2.417687753151556e-01	5.625882e-01
2.417777653207778e-01	5.622113e-01
2.417867553264001e-01	5.618336e-01
2.417957453320224e-01	5.614552e-01
2.418047353376447e-01	5.610761e-01
2.418137253432669e-01	5.606963e-01
2.418227153488892e-01	5.603158e-01
2.418320511239585e-01	5.599199e-01
2.418413868990278e-01	5.595232e-01
2.418507226740971e-01	5.591257e-01
2.418600584491664e-01	5.587275e-01
2.418693942242357e-01	5.583285e-01
2.418787299993050e-01	5.579287e-01
2.418880657743743e-01	5.575282e-01
2.418987846272316e-01	5.570674e-01
2.419095034800890e-01	5.566055e-01
2.419202223329463e-01	5.561427e-01
2.419309411858037e-01	5.556788e-01
2.419416600386610e-01	5.552140e-01
2.419523788915183e-01	5.547481e-01
2.419630977443757e-01	5.542812e-01
2.419693215944219e-01	5.540097e-01
2.419755454444681e-01	5.537378e-01
2.419817692945143e-01	5.534656e-01
2.419879931445604e-01	5.531930e-01
2.419942169946066e-01	5.529201e-01
2.420004408446528e-01	5.526469e-01
2.420066646946990e-01	5.523733e-01
2.420149631614273e-01	5.520080e-01
2.420232616281555e-01	5.516421e-01
2.420315600948838e-01	5.512756e-01
2.420398585616121e-01	5.509085e-01
2.420481570283403e-01	5.505408e-01
2.420564554950686e-01	5.501726e-01
2.420647539617969e-01	5.498037e-01
2.420713235812901e-01	5.495112e-01
2.420778932007833e-01	5.492184e-01
2.420844628202765e-01	5.489252e-01
2.420910324397697e-01	5.486316e-01
2.420976020592629e-01	5.483376e-01
2.421041716787561e-01	5.480433e-01
2.421107412982493e-01	5.477486e-01
2.421138532232724e-01	5.476088e-01
2.421169651482955e-01	5.474690e-01
2.421200770733186e-01	5.473291e-01
2.421231889983417e-01	5.471891e-01
2.421263009233648e-01	5.470491e-01
2.421294128483879e-01	5.469089e-01
2.421325247734110e-01	5.467687e-01
2.421349451595401e-01	5.466596e-01
2.421360493155407e-01	5.466098e-01
2.421387446735313e-01	5.464882e-01
2.421396031004850e-01	5.464494e-01
2.421404615274386e-01	5.464107e-01
2.421413199543922e-01	5.463719e-01
2.421421783813458e-01	5.463331e-01
2.421430368082995e-01	5.462943e-01
2.421438952352531e-01	5.462556e-01
2.421447536622067e-01	5.462168e-01
2.421489550828607e-01	5.460269e-01
2.421562162412479e-01	5.456983e-01
2.421593281662710e-01	5.455574e-01
2.421624400912941e-01	5.454164e-01
2.421655520163172e-01	5.452752e-01
2.421686639413403e-01	5.451340e-01
2.421717758663634e-01	5.449927e-01
2.421748877913865e-01	5.448514e-01
2.421779997164096e-01	5.447099e-01
2.421804201025387e-01	5.445999e-01
2.421880270303730e-01	5.442536e-01
2.421956339582072e-01	5.439068e-01
2.422032408860414e-01	5.435596e-01
2.422108478138757e-01	5.432118e-01
2.422184547417099e-01	5.428635e-01
2.422260616695441e-01	5.425148e-01
2.422336685973784e-01	5.421655e-01
2.422374720612955e-01	5.419907e-01
2.422412755252126e-01	5.418157e-01
2.422450789891298e-01	5.416407e-01
2.422488824530468e-01	5.414655e-01
2.422526859169640e-01	5.412902e-01
2.422564893808811e-01	5.411147e-01
2.422602928447982e-01	5.409392e-01
2.422692828504205e-01	5.405238e-01
2.422782728560428e-01	5.401076e-01
2.422872628616651e-01	5.396908e-01
2.422962528672873e-01	5.392733e-01
2.423052428729096e-01	5.388551e-01
2.423142328785319e-01	5.384362e-01
2.423232228841542e-01	5.380166e-01
2.423325586592235e-01	5.375802e-01
2.423418944342928e-01	5.371430e-01
2.423512302093621e-01	5.367051e-01
2.423605659844314e-01	5.362664e-01
2.423699017595007e-01	5.358270e-01
2.423792375345700e-01	5.353869e-01
2.423885733096393e-01	5.349460e-01
2.423992921624966e-01	5.344389e-01
2.424100110153539e-01	5.339309e-01
2.424207298682113e-01	5.334219e-01
2.424314487210686e-01	5.329119e-01
2.424421675739259e-01	5.324009e-01
2.424528864267833e-01	5.318890e-01
2.424636052796406e-01	5.313761e-01
2.424698291296868e-01	5.310778e-01
2.424760529797330e-01	5.307792e-01
2.424822768297792e-01	5.304803e-01
2.424885006798254e-01	5.301811e-01
2.424947245298716e-01	5.298816e-01
2.425009483799178e-01	5.295817e-01
2.425071722299640e-01	5.292815e-01
2.425154706966922e-01	5.288807e-01
2.425237691634205e-01	5.284794e-01
2.425320676301488e-01	5.280775e-01
2.425403660968770e-01	5.276750e-01
2.425486645636053e-01	5.272719e-01
2.425569630303336e-01	5.268683e-01
2.425652614970618e-01	5.264640e-01
2.425718311165550e-01	5.261437e-01
2.425784007360482e-01	5.258229e-01
2.425849703555414e-01	5.255018e-01
2.425915399750346e-01	5.251803e-01
2.425981095945278e-01	5.248585e-01
2.426046792140210e-01	5.245362e-01
2.426112488335143e-01	5.242137e-01
2.426185099919015e-01	5.238568e-01
2.426257711502887e-01	5.234994e-01
2.426306119225469e-01	5.232610e-01
2.426345741021642e-01	5.230656e-01
2.426351059375954e-01	5.230393e-01
2.426356377730267e-01	5.230131e-01
2.426361696084579e-01	5.229869e-01
2.426367014438892e-01	5.229607e-01
2.426372332793204e-01	5.229344e-01
2.426377651147517e-01	5.229082e-01
2.426382969501829e-01	5.228819e-01
2.426390881355232e-01	5.228429e-01
2.426400128318666e-01	5.227972e-01
2.426458515244608e-01	5.225089e-01
2.426516902170549e-01	5.222202e-01
2.426575289096491e-01	5.219313e-01
2.426633676022432e-01	5.216421e-01
2.426692062948374e-01	5.213526e-01
2.426750449874315e-01	5.210629e-01
2.426808836800257e-01	5.207728e-01
2.426884906078599e-01	5.203945e-01
2.426960975356941e-01	5.200157e-01
2.427037044635284e-01	5.196365e-01
2.427113113913626e-01	5.192567e-01
2.427189183191969e-01	5.188766e-01
2.427265252470311e-01	5.184959e-01
2.427341321748653e-01	5.181147e-01
2.427382814082295e-01	5.179066e-01
2.427424306415936e-01	5.176984e-01
2.427465798749577e-01	5.174900e-01
2.427507291083218e-01	5.172815e-01
2.427548783416860e-01	5.170728e-01
2.427590275750501e-01	5.168640e-01
2.427631768084142e-01	5.166551e-01
2.427718210445895e-01	5.162193e-01
2.427804652807648e-01	5.157830e-01
2.427891095169401e-01	5.153460e-01
2.427977537531153e-01	5.149084e-01
2.428063979892906e-01	5.144703e-01
2.428150422254659e-01	5.140315e-01
2.428236864616412e-01	5.135921e-01
2.428333680061575e-01	5.130993e-01
2.428430495506738e-01	5.126057e-01
2.428527310951901e-01	5.121113e-01
2.428624126397064e-01	5.116162e-01
2.428720941842227e-01	5.111203e-01
2.428817757287390e-01	5.106237e-01
2.428914572732553e-01	5.101263e-01
2.429021761261126e-01	5.095747e-01
2.429128949789700e-01	5.090222e-01
2.429236138318273e-01	5.084688e-01
2.429343326846846e-01	5.079145e-01
2.429450515375420e-01	5.073592e-01
2.429557703903993e-01	5.068031e-01
