time	I(R16)
3.929132091394315e-02	-7.280668e-02
3.929927361122443e-02	-7.175756e-02
3.930722630850570e-02	-7.053146e-02
3.931517900578697e-02	-6.912836e-02
3.932313170306825e-02	-6.754827e-02
3.933108440034952e-02	-6.579119e-02
3.934145748375988e-02	-6.323044e-02
3.935183056717023e-02	-6.043414e-02
3.936220365058059e-02	-5.740230e-02
3.937257673399094e-02	-5.413492e-02
3.938294981740130e-02	-5.063199e-02
3.939332290081166e-02	-4.689351e-02
3.940369598422201e-02	-4.291949e-02
3.941337752873834e-02	-3.904096e-02
3.942305907325468e-02	-3.505628e-02
3.943274061777101e-02	-3.096547e-02
3.944242216228734e-02	-2.676852e-02
3.945210370680367e-02	-2.246543e-02
3.946178525132001e-02	-1.805621e-02
3.947146679583634e-02	-1.354084e-02
3.947492449030646e-02	-1.192744e-02
3.947838218477658e-02	-1.031035e-02
3.948183987924669e-02	-8.689588e-03
3.948529757371681e-02	-7.065140e-03
3.948875526818693e-02	-5.437010e-03
3.949221296265705e-02	-3.805199e-03
3.949567065712717e-02	-2.169707e-03
3.949809104325625e-02	-1.026752e-03
3.949919456819897e-02	-5.051009e-04
3.950188187778252e-02	7.673517e-04
3.950268269064907e-02	1.146215e-03
3.950348350351562e-02	1.524889e-03
3.950428431638217e-02	1.903374e-03
3.950508512924872e-02	2.281670e-03
3.950588594211527e-02	2.659776e-03
3.950668675498182e-02	3.037693e-03
3.950748756784837e-02	3.415420e-03
3.951232834010653e-02	5.695525e-03
3.951958949849378e-02	9.101979e-03
3.952512180964597e-02	1.169065e-02
3.953065412079816e-02	1.425701e-02
3.953618643195035e-02	1.680108e-02
3.954171874310254e-02	1.932283e-02
3.954725105425473e-02	2.182229e-02
3.955278336540692e-02	2.429945e-02
3.955831567655911e-02	2.675430e-02
3.956453952660532e-02	2.947857e-02
3.957076337665154e-02	3.214769e-02
3.957698722669775e-02	3.476165e-02
3.958321107674397e-02	3.732045e-02
3.958943492679018e-02	3.982409e-02
3.959565877683639e-02	4.227258e-02
3.960188262688261e-02	4.466590e-02
3.960534032135272e-02	4.596231e-02
3.960879801582284e-02	4.723554e-02
3.961225571029296e-02	4.848560e-02
3.961571340476308e-02	4.971247e-02
3.961917109923320e-02	5.091616e-02
3.962262879370332e-02	5.209668e-02
3.962608648817344e-02	5.325401e-02
3.963092726043160e-02	5.482990e-02
3.963470517577244e-02	5.602771e-02
3.963517362780371e-02	5.617369e-02
3.963564207983498e-02	5.631915e-02
3.963611053186624e-02	5.646410e-02
3.963657898389750e-02	5.660854e-02
3.963704743592877e-02	5.675246e-02
3.963751588796004e-02	5.689586e-02
3.963798433999130e-02	5.703875e-02
3.963883854521439e-02	5.729854e-02
3.963942555829168e-02	5.747603e-02
3.964538815251457e-02	5.923698e-02
3.965135074673746e-02	6.090959e-02
3.965731334096035e-02	6.249384e-02
3.966327593518323e-02	6.398973e-02
3.966923852940613e-02	6.539728e-02
3.967520112362902e-02	6.671648e-02
