Fréquence	Canal B
(kHz)	(dBm)

2.99215317	-38.70080000
2.99811363	-36.83350000
3.00407410	-37.04205000
3.01003456	-39.93950000
3.01599503	-39.97817000
3.02195549	-38.99546000
3.02791595	-38.77335000
3.03387642	-39.60803000
3.03983688	-41.53790000
3.04579735	-43.23109000
3.05175781	-42.23653000
3.05771828	-41.34123000
3.06367874	-40.91109000
3.06963921	-40.67295000
3.07559967	-37.75783000
3.08156013	-37.52253000
3.08752060	-40.07213000
3.09348106	-38.14987000
3.09944153	-36.65278000
3.10540199	-32.38184000
3.11136246	-33.50122000
3.11732292	-33.15907000
3.12328339	-33.58615000
3.12924385	-32.76490000
3.13520432	-32.35207000
3.14116478	-32.65018000
3.14712524	-36.52351000
3.15308571	-37.53368000
3.15904617	-41.22457000
3.16500664	-35.28485000
3.17096710	-33.21505000
3.17692757	-29.76422000
3.18288803	-29.77967000
3.18884850	-32.28084000
3.19480896	-36.49543000
3.20076942	-41.84925000
3.20672989	-41.36046000
3.21269035	-41.79336000
3.21865082	-42.62374000
3.22461128	-42.57949000
3.23057175	-40.41493000
3.23653221	-39.84000000
3.24249268	-37.17643000
3.24845314	-36.65132000
3.25441360	-36.44395000
3.26037407	-35.53362000
3.26633453	-31.97490000
3.27229500	-32.65126000
3.27825546	-36.02614000
3.28421593	-39.92152000
3.29017639	-37.04234000
3.29613686	-34.01244000
3.30209732	-33.94976000
3.30805779	-33.39946000
3.31401825	-36.27174000
3.31997871	-33.45937000
3.32593918	-33.08091000
3.33189964	-29.99877000
3.33786011	-31.50936000
3.34382057	-33.92288000
3.34978104	-37.52821000
3.35574150	-37.57676000
3.36170197	-36.31532000
3.36766243	-38.20930000
3.37362289	-37.05779000
3.37958336	-37.52408000
3.38554382	-36.90767000
3.39150429	-38.40609000
3.39746475	-39.04096000
3.40342522	-38.48455000
3.40938568	-37.55415000
3.41534615	-37.84666000
3.42130661	-36.13800000
3.42726707	-38.20625000
3.43322754	-36.28792000
3.43918800	-36.40983000
3.44514847	-39.17277000
3.45110893	-38.97959000
3.45706940	-40.02104000
3.46302986	-38.73989000
3.46899033	-38.33279000
3.47495079	-40.02056000
3.48091125	-39.20135000
3.48687172	-36.91319000
3.49283218	-34.97630000
3.49879265	-36.84436000
3.50475311	-40.21212000
3.51071358	-38.12107000
3.51667404	-39.02140000
3.52263451	-37.88738000
3.52859497	-38.38795000
3.53455544	-39.61039000
3.54051590	-39.52995000
3.54647636	-38.24034000
3.55243683	-38.68666000
3.55839729	-38.42352000
3.56435776	-36.90821000
3.57031822	-36.98970000
3.57627869	-37.64668000
3.58223915	-34.52320000
3.58819962	-33.79131000
3.59416008	-35.89493000
3.60012054	-34.96244000
3.60608101	-36.26630000
3.61204147	-33.90275000
3.61800194	-33.48314000
3.62396240	-35.72765000
3.62992287	-37.15784000
3.63588333	-37.47033000
3.64184380	-39.05217000
3.64780426	-39.17265000
3.65376472	-39.06609000
3.65972519	-38.91839000
3.66568565	-37.63248000
3.67164612	-34.82809000
3.67760658	-37.34673000
3.68356705	-41.50066000
3.68952751	-39.20350000
3.69548798	-37.11919000
