TIME	Vs	Va
-2.58E-03	14.6000004	6.5999999
-2.58E-03	14.8000002	6.5999999
-2.58E-03	0	6.4000001
-2.57E-03	4.00E-01	-7.599999905
-2.57E-03	4.00E-01	-7.599999905
-2.56E-03	2.00E-01	-7.599999905
-2.56E-03	4.00E-01	-7.400000095
-2.56E-03	2.00E-01	-7.400000095
-2.55E-03	2.00E-01	-7.20000029
-2.55E-03	4.00E-01	-7
-2.54E-03	2.00E-01	-7
-2.54E-03	2.00E-01	-7
-2.54E-03	4.00E-01	-6.80000019
-2.53E-03	2.00E-01	-6.80000019
-2.53E-03	2.00E-01	-6.5999999
-2.52E-03	2.00E-01	-6.5999999
-2.52E-03	2.00E-01	-6.5999999
-2.52E-03	4.00E-01	-6.4000001
-2.51E-03	2.00E-01	-6.4000001
-2.51E-03	2.00E-01	-6.20000029
-2.50E-03	4.00E-01	-6.20000029
-2.50E-03	2.00E-01	-6
-2.50E-03	2.00E-01	-6
-2.49E-03	2.00E-01	-5.80000019
-2.49E-03	2.00E-01	-5.80000019
-2.48E-03	2.00E-01	-5.80000019
-2.48E-03	2.00E-01	-5.5999999
-2.48E-03	2.00E-01	-5.4000001
-2.47E-03	2.00E-01	-5.5999999
-2.47E-03	4.00E-01	-5.4000001
-2.46E-03	2.00E-01	-5.4000001
-2.46E-03	2.00E-01	-5.20000029
-2.46E-03	2.00E-01	-5
-2.45E-03	2.00E-01	-5
-2.45E-03	2.00E-01	-5
-2.44E-03	2.00E-01	-4.80000019
-2.44E-03	4.00E-01	-4.80000019
-2.44E-03	2.00E-01	-4.80000019
-2.43E-03	2.00E-01	-4.5999999
-2.43E-03	2.00E-01	-4.5999999
-2.42E-03	2.00E-01	-4.4000001
-2.42E-03	2.00E-01	-4.4000001
-2.42E-03	2.00E-01	-4.20000029
-2.41E-03	2.00E-01	-4.20000029
-2.41E-03	2.00E-01	-4.20000029
-2.40E-03	2.00E-01	-4
-2.40E-03	2.00E-01	-4
-2.40E-03	2.00E-01	-4
-2.39E-03	2.00E-01	-3.79999995
-2.39E-03	2.00E-01	-3.79999995
-2.38E-03	2.00E-01	-3.60000014
-2.38E-03	2.00E-01	-3.60000014
-2.38E-03	2.00E-01	-3.60000014
-2.37E-03	2.00E-01	-3.4000001
-2.37E-03	2.00E-01	-3.4000001
-2.36E-03	2.00E-01	-3.20000005
-2.36E-03	2.00E-01	-3.20000005
-2.36E-03	2.00E-01	-3.20000005
-2.35E-03	2.00E-01	-3.20000005
-2.35E-03	2.00E-01	-3
-2.34E-03	2.00E-01	-2.79999995
-2.34E-03	2.00E-01	-3
-2.34E-03	2.00E-01	-2.79999995
-2.33E-03	2.00E-01	-2.6000001
-2.33E-03	2.00E-01	-2.6000001
-2.32E-03	4.00E-01	-2.6000001
-2.32E-03	2.00E-01	-2.6000001
-2.32E-03	2.00E-01	-2.4000001
-2.31E-03	2.00E-01	-2.4000001
-2.31E-03	2.00E-01	-2.4000001
-2.30E-03	2.00E-01	-2.2
-2.30E-03	2.00E-01	-2.2
-2.30E-03	2.00E-01	-2
-2.29E-03	2.00E-01	-2
-2.29E-03	2.00E-01	-2
-2.28E-03	2.00E-01	-1.8000001
-2.28E-03	2.00E-01	-1.8000001
-2.28E-03	2.00E-01	-1.6
-2.27E-03	2.00E-01	-1.6
-2.27E-03	2.00E-01	-1.6
-2.26E-03	2.00E-01	-1.6
-2.26E-03	2.00E-01	-1.6
-2.26E-03	2.00E-01	-1.4
-2.25E-03	2.00E-01	-1.2
-2.25E-03	2.00E-01	-1.2
-2.24E-03	2.00E-01	-1
-2.24E-03	2.00E-01	-1.2
-2.24E-03	2.00E-01	-1
-2.23E-03	2.00E-01	-1
-2.23E-03	2.00E-01	-8.00E-01
-2.22E-03	2.00E-01	-8.00E-01
-2.22E-03	2.00E-01	-8.00E-01
-2.22E-03	2.00E-01	-8.00E-01
-2.21E-03	2.00E-01	-6.00E-01
-2.21E-03	2.00E-01	-6.00E-01
-2.20E-03	2.00E-01	-6.00E-01
-2.20E-03	2.00E-01	-4.00E-01
-2.20E-03	2.00E-01	-4.00E-01
-2.19E-03	2.00E-01	-4.00E-01
-2.19E-03	2.00E-01	-2.00E-01
-2.18E-03	2.00E-01	-2.00E-01
-2.18E-03	2.00E-01	0
-2.18E-03	2.00E-01	0
-2.17E-03	2.00E-01	0
-2.17E-03	2.00E-01	0
-2.16E-03	2.00E-01	0
-2.16E-03	2.00E-01	0
-2.16E-03	2.00E-01	2.00E-01
-2.15E-03	2.00E-01	0
-2.15E-03	2.00E-01	4.00E-01
-2.14E-03	2.00E-01	4.00E-01
-2.14E-03	2.00E-01	4.00E-01
-2.14E-03	2.00E-01	4.00E-01
-2.13E-03	2.00E-01	6.00E-01
-2.13E-03	2.00E-01	6.00E-01
-2.12E-03	2.00E-01	6.00E-01
-2.12E-03	2.00E-01	8.00E-01
-2.12E-03	2.00E-01	8.00E-01
-2.11E-03	2.00E-01	1
-2.11E-03	2.00E-01	8.00E-01
-2.10E-03	2.00E-01	1
-2.10E-03	2.00E-01	1
-2.10E-03	2.00E-01	1
