TIME	Vs	Vc
-3.50E-05	-13.6000004	-6.20000029
-3.40E-05	-13.6000004	-6.4000001
-3.30E-05	-13.6000004	-6.20000029
-3.20E-05	-13.6000004	-6.20000029
-3.10E-05	-13.6000004	-6.20000029
-3.00E-05	-13.6000004	-6.20000029
-2.90E-05	-13.6000004	-6.4000001
-2.80E-05	-13.6000004	-6.4000001
-2.70E-05	-13.6000004	-6.4000001
-2.60E-05	-13.8000002	-6.4000001
-2.50E-05	-13.6000004	-6.4000001
-2.40E-05	-13.6000004	-6.4000001
-2.30E-05	-13.6000004	-6.4000001
-2.20E-05	-13.6000004	-6.4000001
-2.10E-05	-13.6000004	-6.4000001
-2.00E-05	-13.6000004	-6.4000001
-1.90E-05	-13.6000004	-6.4000001
-1.80E-05	-13.6000004	-6.4000001
-1.70E-05	-13.6000004	-6.4000001
-1.60E-05	-13.6000004	-6.5999999
-1.50E-05	-13.6000004	-6.4000001
-1.40E-05	-13.6000004	-6.4000001
-1.30E-05	-13.6000004	-6.5999999
-1.20E-05	-13.6000004	-6.5999999
-1.10E-05	-13.6000004	-6.5999999
-1.00E-05	-13.6000004	-6.4000001
-9.00E-06	-13.6000004	-6.5999999
-8.00E-06	-13.6000004	-6.5999999
-7.00E-06	-13.6000004	-6.5999999
-6.00E-06	-13.6000004	-6.5999999
-5.00E-06	-13.6000004	-6.80000019
-4.00E-06	-13.6000004	-6.5999999
-3.00E-06	-13.6000004	-6.5999999
-2.00E-06	-13.6000004	-6.5999999
0.00E+00	-13.6000004	-6.80000019
6.59E-12	-13.6000004	-6.80000019
1.00E-06	-10.4000006	-6.5999999
2.00E-06	6.80000019	-6.5999999
3.00E-06	14	-6.80000019
4.00E-06	14	-6.5999999
5.00E-06	14.1999998	-6.5999999
6.00E-06	14.1999998	-6.4000001
7.00E-06	14.1999998	-6.4000001
8.00E-06	14.1999998	-6.4000001
9.00E-06	14.1999998	-6.4000001
1.00E-05	14.1999998	-6.4000001
1.10E-05	14.1999998	-6.20000029
1.20E-05	14.1999998	-6.4000001
1.30E-05	14.1999998	-6.20000029
1.40E-05	14.1999998	-6.20000029
1.50E-05	14.1999998	-6
1.60E-05	14.1999998	-6.20000029
1.70E-05	14.1999998	-6
1.80E-05	14.1999998	-6
1.90E-05	14.1999998	-6
2.00E-05	14.1999998	-5.80000019
2.10E-05	14.1999998	-5.80000019
2.20E-05	14.1999998	-5.80000019
2.30E-05	14.1999998	-5.80000019
2.40E-05	14.1999998	-5.5999999
2.50E-05	14.1999998	-5.5999999
2.60E-05	14.1999998	-5.5999999
2.70E-05	14.1999998	-5.5999999
2.80E-05	14.1999998	-5.5999999
2.90E-05	14.1999998	-5.4000001
3.00E-05	14.1999998	-5.4000001
3.10E-05	14.1999998	-5.4000001
3.20E-05	14.1999998	-5.4000001
3.30E-05	14.1999998	-5.4000001
3.40E-05	14.1999998	-5.4000001
3.50E-05	14.1999998	-5.4000001
3.60E-05	14.1999998	-5.4000001
3.70E-05	14.1999998	-5.20000029
3.80E-05	14.1999998	-5.20000029
3.90E-05	14.1999998	-5.20000029
4.00E-05	14.1999998	-5
4.10E-05	14.1999998	-5
4.20E-05	14.4000006	-5
4.30E-05	14.1999998	-4.80000019
4.40E-05	14.1999998	-4.80000019
4.50E-05	14.1999998	-4.80000019
4.60E-05	14.1999998	-4.80000019
4.70E-05	14.1999998	-4.80000019
4.80E-05	14.1999998	-4.80000019
4.90E-05	14.1999998	-4.5999999
5.00E-05	14.1999998	-4.5999999
5.10E-05	14.1999998	-4.5999999
5.20E-05	14.1999998	-4.5999999
5.30E-05	14.1999998	-4.5999999
5.40E-05	14.1999998	-4.4000001
5.50E-05	14.1999998	-4.4000001
5.60E-05	14.4000006	-4.4000001
5.70E-05	14.1999998	-4.4000001
5.80E-05	14.1999998	-4.20000029
5.90E-05	14.4000006	-4.20000029
6.00E-05	14.1999998	-4.4000001
6.10E-05	14.1999998	-4.20000029
6.20E-05	14.1999998	-4.20000029
6.30E-05	14.1999998	-4.20000029
6.40E-05	14.1999998	-4
6.50E-05	14.1999998	-4
6.60E-05	14.1999998	-4
6.70E-05	14.1999998	-4
6.80E-05	14.1999998	-3.79999995
6.90E-05	14.1999998	-3.79999995
7.00E-05	14.1999998	-3.79999995
7.10E-05	14.1999998	-3.79999995
7.20E-05	14.4000006	-3.79999995
7.30E-05	14.1999998	-3.79999995
7.40E-05	14.1999998	-3.79999995
7.50E-05	14.1999998	-3.79999995
7.60E-05	14.1999998	-3.60000014
7.70E-05	14.1999998	-3.60000014
7.80E-05	14.4000006	-3.60000014
7.90E-05	14.1999998	-3.60000014
8.00E-05	14.1999998	-3.60000014
8.10E-05	14.1999998	-3.4000001
8.20E-05	14.1999998	-3.4000001
8.30E-05	14.1999998	-3.4000001
8.40E-05	14.1999998	-3.4000001
8.50E-05	14.1999998	-3.4000001
8.60E-05	14.1999998	-3.20000005
8.70E-05	14.1999998	-3.20000005
8.80E-05	14.1999998	-3.20000005
8.90E-05	14.1999998	-3.20000005
9.00E-05	14.1999998	-3.20000005
9.10E-05	14.4000006	-3
9.20E-05	14.1999998	-3.20000005
9.30E-05	14.1999998	-3
9.40E-05	14.1999998	-3
9.50E-05	14.1999998	-3
9.60E-05	14.1999998	-2.79999995
9.70E-05	14.1999998	-2.79999995
9.80E-05	14.1999998	-2.79999995
9.90E-05	14.1999998	-2.79999995
1.00E-04	14.1999998	-2.79999995
1.01E-04	14.1999998	-2.79999995
1.02E-04	14.1999998	-2.6000001
1.03E-04	14.1999998	-2.6000001
1.04E-04	14.1999998	-2.6000001
1.05E-04	14.1999998	-2.6000001
1.06E-04	14.1999998	-2.6000001
1.07E-04	14.1999998	-2.4000001
1.08E-04	14.1999998	-2.4000001
1.09E-04	14.1999998	-2.4000001
1.10E-04	14.1999998	-2.4000001
1.11E-04	14.1999998	-2.4000001
1.12E-04	14.1999998	-2.4000001
1.13E-04	14.1999998	-2.4000001
1.14E-04	14.1999998	-2.2
1.15E-04	14.4000006	-2.2
1.16E-04	14.1999998	-2.2
1.17E-04	14.1999998	-2.2
1.18E-04	14.1999998	-2.2
1.19E-04	14.1999998	-2
1.20E-04	14.1999998	-2
1.21E-04	14.4000006	-2
1.22E-04	14.1999998	-2
1.23E-04	14.1999998	-2
1.24E-04	14.1999998	-2
1.25E-04	14.1999998	-1.8000001
1.26E-04	14.1999998	-1.8000001
1.27E-04	14.1999998	-1.8000001
1.28E-04	14.1999998	-1.8000001
1.29E-04	14.1999998	-1.8000001
1.30E-04	14.1999998	-1.8000001
1.31E-04	14.4000006	-1.8000001
1.32E-04	14.1999998	-1.6
1.33E-04	14.1999998	-1.6
1.34E-04	14.1999998	-1.6
1.35E-04	14.1999998	-1.6
1.36E-04	14.1999998	-1.4
1.37E-04	14.1999998	-1.4
1.38E-04	14.4000006	-1.4
1.39E-04	14.1999998	-1.4
1.40E-04	14.1999998	-1.4
1.41E-04	14.1999998	-1.4
1.42E-04	14.1999998	-1.4
1.43E-04	14.1999998	-1.2
1.44E-04	14.1999998	-1.2
1.45E-04	14.1999998	-1.2
1.46E-04	14.1999998	-1.2
1.47E-04	14.1999998	-1.2
1.48E-04	14.1999998	-1.2
1.49E-04	14.4000006	-1.2
1.50E-04	14.4000006	-1
1.51E-04	14.1999998	-1.2
1.52E-04	14.1999998	-1
1.53E-04	14.1999998	-1
1.54E-04	14.1999998	-8.00E-01
1.55E-04	14.1999998	-1
1.56E-04	14.1999998	-8.00E-01
1.57E-04	14.1999998	-8.00E-01
1.58E-04	14.1999998	-8.00E-01
1.59E-04	14.4000006	-8.00E-01
1.60E-04	14.4000006	-8.00E-01
1.61E-04	14.1999998	-6.00E-01
1.62E-04	14.1999998	-6.00E-01
1.63E-04	14.1999998	-6.00E-01
1.64E-04	14.4000006	-6.00E-01
1.65E-04	14.1999998	-6.00E-01
1.66E-04	14.1999998	-6.00E-01
1.67E-04	14.1999998	-4.00E-01
1.68E-04	14.1999998	-4.00E-01
1.69E-04	14.4000006	-4.00E-01
1.70E-04	14.1999998	-4.00E-01
1.71E-04	14.1999998	-4.00E-01
1.72E-04	14.1999998	-4.00E-01
1.73E-04	14.4000006	-2.00E-01
1.74E-04	14.4000006	-4.00E-01
1.75E-04	14.1999998	-2.00E-01
1.76E-04	14.1999998	-2.00E-01
1.77E-04	14.4000006	-2.00E-01
1.78E-04	14.1999998	-2.00E-01
1.79E-04	14.1999998	-2.00E-01
1.80E-04	14.1999998	-2.00E-01
1.81E-04	14.1999998	-2.00E-01
1.82E-04	14.1999998	0
1.83E-04	14.4000006	0
1.84E-04	14.1999998	0
1.85E-04	14.1999998	0
