TIME	Va
-2.03E-03	14.6000004
-2.03E-03	14.6000004
-2.02E-03	14.6000004
-2.02E-03	14.6000004
-2.02E-03	14.6000004
-2.01E-03	14.6000004
-2.01E-03	14.6000004
-2.00E-03	14.6000004
-2.00E-03	14.6000004
-2.00E-03	14.6000004
-1.99E-03	14.6000004
-1.99E-03	14.6000004
-1.98E-03	14.6000004
-1.98E-03	14.6000004
-1.98E-03	14.6000004
-1.97E-03	14.6000004
-1.97E-03	14.6000004
-1.96E-03	14.6000004
-1.96E-03	14.6000004
-1.96E-03	14.6000004
-1.95E-03	14.6000004
-1.95E-03	14.6000004
-1.94E-03	14.6000004
-1.94E-03	14.6000004
-1.94E-03	14.6000004
-1.93E-03	14.6000004
-1.93E-03	14.6000004
-1.92E-03	14.6000004
-1.92E-03	14.6000004
-1.92E-03	14.6000004
-1.91E-03	14.6000004
-1.91E-03	14.6000004
-1.90E-03	14.6000004
-1.90E-03	14.6000004
-1.90E-03	14.6000004
-1.89E-03	14.8000002
-1.89E-03	14.6000004
-1.88E-03	14.6000004
-1.88E-03	14.6000004
-1.88E-03	14.6000004
-1.87E-03	14.6000004
-1.87E-03	14.6000004
-1.86E-03	14.6000004
-1.86E-03	14.6000004
-1.86E-03	14.6000004
-1.85E-03	14.6000004
-1.85E-03	14.6000004
-1.84E-03	14.6000004
-1.84E-03	14.6000004
-1.84E-03	14.6000004
-1.83E-03	14.6000004
-1.83E-03	14.6000004
-1.82E-03	14.6000004
-1.82E-03	14.8000002
-1.82E-03	14.6000004
-1.81E-03	14.6000004
-1.81E-03	14.8000002
-1.80E-03	14.6000004
-1.80E-03	14.6000004
-1.80E-03	14.6000004
-1.79E-03	14.6000004
-1.79E-03	14.6000004
-1.78E-03	14.6000004
-1.78E-03	14.6000004
-1.78E-03	14.6000004
-1.77E-03	14.6000004
-1.77E-03	14.6000004
-1.76E-03	14.6000004
-1.76E-03	14.8000002
-1.76E-03	14.6000004
-1.75E-03	14.8000002
-1.75E-03	14.6000004
-1.74E-03	14.6000004
-1.74E-03	14.6000004
-1.74E-03	14.6000004
-1.73E-03	14.6000004
-1.73E-03	14.6000004
-1.72E-03	14.6000004
-1.72E-03	14.6000004
-1.72E-03	14.8000002
-1.71E-03	14.6000004
-1.71E-03	14.6000004
-1.70E-03	14.6000004
-1.70E-03	14.6000004
-1.70E-03	14.8000002
-1.69E-03	14.6000004
-1.69E-03	14.8000002
-1.68E-03	14.6000004
-1.68E-03	14.6000004
-1.68E-03	14.8000002
-1.67E-03	14.6000004
-1.67E-03	14.6000004
-1.66E-03	14.6000004
-1.66E-03	14.6000004
-1.66E-03	14.6000004
-1.65E-03	14.6000004
-1.65E-03	14.8000002
-1.64E-03	14.8000002
-1.64E-03	14.6000004
-1.64E-03	14.8000002
-1.63E-03	14.8000002
