TIME	Vs	Va
7.22E-04	14.4000006	7.599999905
7.22E-04	14.1999998	7.599999905
7.23E-04	14.4000006	7.599999905
7.23E-04	14.1999998	7.800000191
7.23E-04	14.4000006	7.599999905
7.23E-04	14.4000006	7.800000191
7.23E-04	14.1999998	7.800000191
7.24E-04	14.1999998	8
7.24E-04	14.4000006	7.599999905
7.24E-04	14.1999998	7.800000191
7.24E-04	14.1999998	8
7.24E-04	14.1999998	7.800000191
7.25E-04	14.1999998	7.800000191
7.25E-04	14.1999998	8
7.25E-04	14	7.800000191
7.25E-04	14.4000006	7.800000191
7.25E-04	14.4000006	7.800000191
7.26E-04	14.1999998	7.800000191
7.26E-04	14.4000006	7.599999905
7.26E-04	14.1999998	8
7.26E-04	14.4000006	8
7.26E-04	14.4000006	7.800000191
7.27E-04	14.4000006	8
7.27E-04	14.1999998	7.800000191
7.27E-04	14.1999998	7.800000191
7.27E-04	14.4000006	7.800000191
7.27E-04	14.1999998	7.800000191
7.28E-04	14.4000006	8.199999809
7.28E-04	14.4000006	8
7.28E-04	14.1999998	8
7.28E-04	14.4000006	8.199999809
7.28E-04	14.4000006	8
7.29E-04	14.1999998	8
7.29E-04	14.4000006	8
7.29E-04	14.1999998	8
7.29E-04	14.4000006	8
7.29E-04	14.4000006	8
7.30E-04	14.4000006	8.199999809
7.30E-04	14.4000006	8
7.30E-04	14.1999998	8
7.30E-04	14.4000006	8.199999809
7.30E-04	14.1999998	7.800000191
7.31E-04	14.4000006	8
7.31E-04	14.1999998	8
7.31E-04	14.4000006	8.199999809
7.31E-04	14.4000006	8
7.31E-04	14.4000006	8.199999809
7.32E-04	14.1999998	8.199999809
7.32E-04	14.1999998	8
7.32E-04	14.4000006	8.199999809
7.32E-04	14.1999998	8
7.32E-04	14	8
7.33E-04	14.6000004	8
7.33E-04	14.1999998	8
7.33E-04	14.1999998	8.199999809
7.33E-04	14.1999998	8
7.33E-04	14	8.199999809
7.34E-04	14.1999998	8
7.34E-04	14.1999998	8
7.34E-04	14.4000006	8.199999809
7.34E-04	14.4000006	8
7.34E-04	14.4000006	8
7.35E-04	14.1999998	8.199999809
7.35E-04	14.1999998	8.199999809
7.35E-04	14	8.199999809
7.35E-04	14.1999998	8.199999809
7.35E-04	14.4000006	8.199999809
7.36E-04	14.4000006	8
7.36E-04	14.1999998	8.199999809
7.36E-04	14.1999998	8.400000572
7.36E-04	14.4000006	8.199999809
7.36E-04	14.1999998	8.400000572
7.37E-04	14	8.400000572
7.37E-04	14.4000006	8.199999809
7.37E-04	14.4000006	8.199999809
7.37E-04	14.4000006	8.400000572
7.37E-04	14.1999998	8.199999809
7.38E-04	14.1999998	8.199999809
7.38E-04	14.1999998	8
7.38E-04	14.4000006	8.199999809
7.38E-04	14.4000006	8.199999809
7.38E-04	14	8.400000572
7.39E-04	14.4000006	8.199999809
7.39E-04	14.4000006	8.199999809
7.39E-04	14.4000006	8.199999809
7.39E-04	14.1999998	8.199999809
7.39E-04	14.4000006	8.400000572
7.40E-04	14.4000006	8.199999809
7.40E-04	14.1999998	8.400000572
7.40E-04	14	8.199999809
7.40E-04	14.1999998	8.199999809
7.40E-04	14.4000006	8.400000572
7.41E-04	14.1999998	8.199999809
7.41E-04	14.1999998	8.400000572
7.41E-04	14.1999998	8.400000572
7.41E-04	14.4000006	8.400000572
7.41E-04	14.1999998	8.400000572
7.42E-04	14.1999998	8.400000572
7.42E-04	14	8.400000572
7.42E-04	14.4000006	8.400000572
7.42E-04	14.4000006	8.400000572
7.42E-04	14.1999998	8.400000572
7.43E-04	14.4000006	8.400000572
7.43E-04	14.4000006	8.199999809
7.43E-04	14.4000006	8.600000381
7.43E-04	14	8.600000381
7.43E-04	14.1999998	8.400000572
7.44E-04	14.4000006	8.400000572
7.44E-04	14.1999998	8.400000572
7.44E-04	14.1999998	8.400000572
7.44E-04	14.4000006	8.600000381
7.44E-04	14.4000006	8.400000572
7.45E-04	14.1999998	8.400000572
7.45E-04	14.1999998	8.600000381
7.45E-04	14.1999998	8.600000381
7.45E-04	14.4000006	8.600000381
7.45E-04	14.4000006	8.400000572
7.46E-04	14.4000006	8.400000572
7.46E-04	14.4000006	8.600000381
7.46E-04	14.4000006	8.600000381
7.46E-04	14.4000006	8.400000572
7.46E-04	14	8.600000381
7.47E-04	14	8.400000572
7.47E-04	14.1999998	8.400000572
7.47E-04	14.4000006	8.600000381
7.47E-04	14.1999998	8.600000381
7.47E-04	14.1999998	8.600000381
7.48E-04	14.6000004	8.600000381
7.48E-04	14.4000006	8.400000572
7.48E-04	14	8.600000381
7.48E-04	14.1999998	8.600000381
7.48E-04	14.4000006	8.600000381
7.49E-04	14.6000004	8.600000381
7.49E-04	14.1999998	8.600000381
7.49E-04	14.1999998	8.800000191
7.49E-04	14.1999998	8.600000381
7.49E-04	14.4000006	8.800000191
7.50E-04	14.1999998	8.600000381
7.50E-04	14.1999998	8.800000191
7.50E-04	14.1999998	8.600000381
7.50E-04	14.4000006	8.600000381
7.50E-04	14.1999998	8.400000572
7.51E-04	14.1999998	8.600000381
7.51E-04	14.4000006	8.800000191
7.51E-04	14.1999998	8.600000381
7.51E-04	14.4000006	8.600000381
7.51E-04	14.1999998	8.600000381
7.52E-04	14.4000006	8.800000191
7.52E-04	14.1999998	8.600000381
7.52E-04	14.4000006	8.800000191
7.52E-04	14.1999998	8.800000191
7.52E-04	14.4000006	8.800000191
7.53E-04	14	8.600000381
7.53E-04	14.4000006	8.600000381
7.53E-04	14	8.600000381
7.53E-04	14	8.600000381
7.53E-04	14.4000006	8.800000191
7.54E-04	14.4000006	8.800000191
7.54E-04	14.4000006	8.600000381
7.54E-04	14.1999998	8.800000191
7.54E-04	14.1999998	8.600000381
7.54E-04	14.4000006	8.800000191
7.55E-04	14.1999998	8.800000191
7.55E-04	14.1999998	8.800000191
7.55E-04	14.4000006	8.800000191
7.55E-04	14.4000006	8.600000381
7.55E-04	14.4000006	8.800000191
7.56E-04	14.1999998	8.800000191
7.56E-04	14.4000006	9
7.56E-04	14.4000006	8.600000381
7.56E-04	14.1999998	8.600000381
7.56E-04	14.1999998	8.600000381
7.57E-04	14.1999998	8.600000381
7.57E-04	14.4000006	8.800000191
7.57E-04	14.1999998	8.800000191
7.57E-04	14.1999998	8.800000191
