WL; Output[dBm]; Det1_IL[dB]; Det2_IL[dB]; Det4_IL[dB]; Det3_IL
1471.570;-7.52;-64.57;-64.36;-63.92;-41.10
1471.580;-7.46;-64.63;-64.43;-63.98;-41.14
1471.590;-7.46;-64.63;-64.43;-63.98;-41.13
1471.600;-7.39;-64.71;-64.50;-64.06;-41.18
1471.610;-7.39;-64.70;-64.50;-64.05;-41.09
1471.620;-7.30;-64.80;-64.59;-64.15;-41.34
1471.630;-7.12;-64.97;-64.77;-64.32;-41.46
1471.640;-7.01;-65.08;-64.88;-64.43;-41.30
1471.650;-6.94;-65.16;-64.95;-64.50;-41.47
1471.660;-6.84;-65.26;-65.05;-64.61;-41.52
1471.670;-6.79;-65.30;-65.10;-64.65;-41.55
1471.680;-6.67;-65.42;-65.21;-64.77;-41.78
1471.690;-6.59;-65.50;-65.29;-64.85;-41.84
1471.700;-6.51;-65.59;-65.38;-64.94;-41.99
1471.710;-6.45;-65.64;-65.44;-64.99;-42.14
1471.720;-6.33;-65.77;-65.56;-65.12;-42.20
1471.730;-6.16;-65.94;-65.73;-65.28;-42.30
1471.740;-6.01;-66.08;-65.88;-65.43;-42.27
1471.750;-5.91;-66.19;-65.98;-65.53;-42.34
1471.760;-5.78;-66.32;-66.11;-65.67;-42.34
1471.770;-5.67;-66.43;-66.22;-65.78;-42.63
1471.780;-5.58;-66.52;-66.31;-65.86;-42.73
1471.790;-5.47;-66.62;-66.42;-65.97;-42.65
1471.800;-5.32;-66.78;-66.57;-66.12;-42.74
1471.810;-5.25;-66.84;-66.63;-66.19;-42.65
1471.820;-5.15;-66.94;-66.73;-66.29;-42.51
1471.830;-4.96;-67.13;-66.92;-66.48;-42.47
1471.840;-4.75;-67.35;-67.14;-66.69;-42.18
1471.850;-4.63;-67.46;-67.25;-66.81;-42.11
1471.860;-4.56;-67.54;-67.33;-66.88;-42.05
1471.870;-4.44;-67.66;-67.45;-67.01;-42.10
1471.880;-4.33;-67.76;-67.55;-67.11;-42.11
1471.890;-4.26;-67.83;-67.62;-67.18;-42.06
1471.900;-4.21;-67.88;-67.68;-67.23;-42.15
1471.910;-4.12;-67.98;-67.77;-67.32;-42.19
1471.920;-4.09;-68.00;-67.80;-67.35;-42.05
1471.930;-4.03;-68.06;-67.85;-67.41;-42.15
1471.940;-4.01;-68.09;-67.88;-67.44;-41.98
1471.950;-3.96;-68.13;-67.92;-67.48;-41.93
1471.960;-3.93;-68.17;-67.96;-67.51;-41.75
1471.970;-3.92;-68.17;-67.96;-67.52;-41.69
1471.980;-3.94;-68.15;-67.94;-67.50;-41.59
1471.990;-3.97;-68.12;-67.91;-67.47;-41.46
1472.000;-3.96;-68.13;-67.92;-67.48;-41.45
1472.010;-4.00;-68.10;-67.89;-67.44;-41.30
1472.020;-4.04;-68.05;-67.85;-67.40;-41.22
1472.030;-4.06;-68.03;-67.82;-67.38;-41.10
1472.040;-4.09;-68.00;-67.79;-67.35;-41.00
1472.050;-4.18;-67.91;-67.70;-67.26;-40.91
1472.060;-4.29;-67.80;-67.59;-67.15;-40.98
1472.070;-4.57;-67.53;-67.32;-66.88;-40.89
1472.080;-4.61;-67.49;-67.28;-66.84;-40.85
1472.090;-4.61;-67.48;-67.27;-66.83;-40.82
1472.100;-4.68;-67.41;-67.20;-66.76;-40.82
1472.110;-4.59;-67.50;-67.29;-66.85;-40.89
1472.120;-4.62;-67.47;-67.26;-66.82;-40.82
1472.130;-4.64;-67.45;-67.24;-66.80;-40.73
1472.140;-4.59;-67.50;-67.29;-66.85;-40.87
1472.150;-4.64;-67.46;-67.25;-66.81;-40.83
1472.160;-4.64;-67.46;-67.24;-66.80;-40.77
1472.170;-4.60;-67.49;-67.28;-66.84;-40.74
1472.180;-4.70;-67.40;-67.19;-66.75;-40.73
1472.190;-4.68;-67.42;-67.21;-66.77;-40.67
1472.200;-4.68;-67.42;-67.21;-66.76;-40.64
