OWNER;POINTNAME;FLD_DEV;3_KKS;DESC;ACTIVE;INACTIVE;SIG_TYPE;SIG_LEVEL;PWR_SRC;LOCATION;IO_GROUP;DEV_PARTITION;DEVICE_LO;DEVICE_HI;DEVICE_UNITS;DISPLAY_LO;DISPLAY_HI;DISPLAY_UNITS;PRECISION;SOE;HIST;PID;LOGIC;HMI_SCREEN;MOD;REV;REV_COMMENT;REV_DATE;REMARKS;Typo;DESCRIPCIÓN;DESCRIPCIÓN ALTERNATIVA;
       ACC;B0LBG12CP001BXQ01;B0LBG12CP002;XQ01;MS Attemp CV Outl Press 2 xtmr                                          ;xmtr;;AI;4_20mA;;;;;;;;;;;;;;NPE7-EAI-41XX-XXX-PD-XA-000002;NPE7-EAI-41XX-XXX-PP-XA-007604;NPE7-EAI-41XX-XXX-IM-XA-007653;;1;;;;;MS Attemp CV Outl Press 2;B0LBG10EA001;
       ACC;B0LBG12CP901XQ01;B0LBG12CP901;XQ01;MS Attemp CV Outl Press xtmr                                          ;xmtr;;_empty_;;;;;;;;;;;;;;;NPE7-EAI-41XX-XXX-PD-XA-000002;NPE7-EAI-41XX-XXX-PP-XA-007604;NPE7-EAI-41XX-XXX-IM-XA-007653;;1;;;;;MS Attemp CV Outl Press;B0LBG10EA001;
       ACC;B0LBG12CT001AXQ01;B0LBG12CT001;XQ01;MS Attemp CV Outl Temp 1 xtmr                                          ;xmtr;;AI;4_20mA;;;;;;;;;;;;;;NPE7-EAI-41XX-XXX-PD-XA-000002;NPE7-EAI-41XX-XXX-PP-XA-007604;NPE7-EAI-41XX-XXX-IM-XA-007653;;1;;;;;MS Attemp CV Outl Temp 1;B0LBG10EA001;
       ACC;B0LBG12CT001BXQ01;B0LBG12CT002;XQ01;MS Attemp CV Outl Temp 2 xtmr                                          ;xmtr;;AI;4_20mA;;;;;;;;;;;;;;NPE7-EAI-41XX-XXX-PD-XA-000002;NPE7-EAI-41XX-XXX-PP-XA-007604;NPE7-EAI-41XX-XXX-IM-XA-007653;;1;;;;;MS Attemp CV Outl Temp 2;B0LBG10EA001;
       ACC;B0LBG12CT901XQ01;B0LBG12CT901;XQ01;MS Attemp CV Outl Temp xtmr                                          ;xmtr;;_empty_;;;;;;;;;;;;;;;NPE7-EAI-41XX-XXX-PD-XA-000002;NPE7-EAI-41XX-XXX-PP-XA-007604;NPE7-EAI-41XX-XXX-IM-XA-007653;;1;;;;;MS Attemp CV Outl Temp;B0LBG10EA001;
       ACC;B0LBG20AA301XB01;B0LBG20AA301;XB01;AuxStm to Deaer Byp MOV FullyOp                                       ;;;DI;DC_24V;         S;;;;;;;;;;;;        Sí;NPE7-EAI-41XX-XXX-PD-XA-000002;NPE7-EAI-41XX-XXX-PP-XA-007604;;;1;;;;;AuxStm to Deaer Byp MOV;B0LBG10EA001;
       ACC;B0LBG20AA301XB02;B0LBG20AA301;XB02;AuxStm to Deaer Byp MOV FullyCl                                       ;;;DI;DC_24V;         S;;;;;;;;;;;;        Sí;NPE7-EAI-41XX-XXX-PD-XA-000002;NPE7-EAI-41XX-XXX-PP-XA-007604;;;1;;;;;AuxStm to Deaer Byp MOV;B0LBG10EA001;
       ACC;B0LBG20AA301XB07;B0LBG20AA301;XB07;AuxStm to Deaer Byp MOV Actuator                                      Fault;;;DI;DC_24V;         S;;;;;;;;;;;;;NPE7-EAI-41XX-XXX-PD-XA-000002;NPE7-EAI-41XX-XXX-PP-XA-007604;;;1;;;;;AuxStm to Deaer Byp MOV;B0LBG10EA001;
       ACC;B0LBG20AA301XB23;B0LBG20AA301;XB23;AuxStm to Deaer Byp MOV Actuator                                      Local Mode;;;DI;DC_24V;         S;          ;;;;;;;;;;;        Sí;NPE7-EAI-41XX-XXX-PD-XA-000002;NPE7-EAI-41XX-XXX-PP-XA-007604;;;1;;;;;AuxStm to Deaer Byp MOV;B0LBG10EA001;
       ACC;B0LBG20AA301XQ13;B0LBG20AA301;XQ13;AuxStm to Deaer Byp MOV Valve                                         Position;;;AI;4_20mA;         S;;;;;;;;;;;;        Sí;NPE7-EAI-41XX-XXX-PD-XA-000002;NPE7-EAI-41XX-XXX-PP-XA-007604;;;1;;;;;AuxStm to Deaer Byp MOV;B0LBG10EA001;
       ACC;B0LBG20AA301YQ01;B0LBG20AA301;YQ01;AuxStm to Deaer Byp MOV Position                                      Demand;;;AO;4_20mA;         S;          ;;;;;;;;;;;       Yes;NPE7-EAI-41XX-XXX-PD-XA-000002;NPE7-EAI-41XX-XXX-PP-XA-007604;;;1;;;;;AuxStm to Deaer Byp MOV;B0LBG10EA001;
       ACC;B0LBG20AA301ZB17;B0LBG20AA301;ZB17;AuxStm to Deaer Byp MOV Protection                                    Close;Prot Close Pulse Man;;_empty_;DC_24V;          ;          ;;;;;;;;;;;        Sí;NPE7-EAI-41XX-XXX-PD-XA-000002;NPE7-EAI-41XX-XXX-PP-XA-007604;;;1;;;;;AuxStm to Deaer Byp MOV;B0LBG10EA001;
       ACC;B0LBG20AA301ZB19;B0LBG20AA301;ZB19;AuxStm to Deaer Byp MOV Protection                                    Open;Prot Open Pulse Man;;_empty_;DC_24V;          ;          ;;;;;;;;;;;        Sí;NPE7-EAI-41XX-XXX-PD-XA-000002;NPE7-EAI-41XX-XXX-PP-XA-007604;;;1;;;;;AuxStm to Deaer Byp MOV;B0LBG10EA001;
       ACC;B0LBG20AA301ZB50;B0LBG20AA301;ZB50;AuxStm to Deaer Byp MOV Drive                                         Ready;Drive Ready;;_empty_;DC_24V;          ;;;;;;;;;;;;;NPE7-EAI-41XX-XXX-PD-XA-000002;NPE7-EAI-41XX-XXX-PP-XA-007604;;;1;;;;;AuxStm to Deaer Byp MOV;B0LBG10EA001;
       ACC;B0LBG20AA301ZB51;B0LBG20AA301;ZB51;AuxStm to Deaer Byp MOV Drive Ready                                    & Auto;Drive Ready & Auto;;_empty_;DC_24V;          ;;;;;;;;;;;;;NPE7-EAI-41XX-XXX-PD-XA-000002;NPE7-EAI-41XX-XXX-PP-XA-007604;;;1;;;;;AuxStm to Deaer Byp MOV;B0LBG10EA001;
       ACC;B0LBG20AA302XB01;B0LBG20AA302;XB01;AuxStm to Deaer Pot B0LBG20 Drn MOV FullyOp                                       ;;;DI;DC_24V;         S;;;;;;;;;;;;        Sí;NPE7-EAI-41XX-XXX-PD-XA-000002;NPE7-EAI-41XX-XXX-PP-XA-007604;;;1;;;;;AuxStm to Deaer Pot B0LBG20 Drn MOV;B0LBG10EA001;
