OWNER;POINTNAME;FLD_DEV;3_KKS; DESC;LONG DESC;ACTIVE;INACTIVE;EST;PRI;SIG_TYPE;SIG_LEVEL;PWR_SRC;NOMINAL POWER;LINE MONITORING;LOCATION;DEV_PARTITION;DEVICE_LO;DEVICE_HI;DEVICE_UNITS;DISPLAY_LO;DISPLAY_HI;DISPLAY_UNITS;PRECISION_SIGNAL;SOE;HIST;PID;LOGIC;SCHEM;HMI_SCREEN;Intelligent System;Signal Loss;Instrument Function;KKS_Junction Box;Explosion Protection;IS;IS_MODEL;IS_IN_TB_1;IS_IN_TB_2;IS_OUT_TB_1;IS_OUT_TB_2;CONTROLLER;CABINET_KKS;CARD_ID;CARD_TYPE;CARD_POINT_Nº;TA_MODEL;TA_TAG_ID;MC_ID;MC_TERM_STRIP_ID;TB_1;TB_2;TB_3;TB_4;STATUS OF TECHNICAL DATA;IN PAMELA;REMARKS;MOD;REV;REV_COMMENT;REV_DATE
EA-I&C;B0GUA13AA301YB01;B0GUA13AA301;YB01;Rain Wtr Pmps Disch Vlv                       ;Rain Water Pumps Discharge Valve;Op Cmd;;;;DO;24VDC;         S;;;B0CRM01GH002;;N/A;N/A;N/A;N/A;N/A;N/A;;;YES;NPE7-EAI-41MX-XXX-PD-XA-000016 - Waste Water;NPE7-EAI-41MX-XXX-PP-XA-007610;NPE7-EAI-41MX-XXX-PP-XA-007629;NPE7-EAI-41MX-XXX-IM-XA-007610;;N/A;-;;TBD;TBD;;;;;;;;;;;;;;;;;;;Estimate;TBD;;A;P01;;24/03/2023
EA-I&C;B0GUA13CP001XQ01;B0GUA13CP001;XQ01;Rain Wtr Pmps Disch Press                       ;Rain Water Pumps Discharge Pressure;N/A;N/A;;;AI;4-20mA;         S;;;B0CRM01GH002;;TBD;TBD;TBD;TBD;TBD;TBD;;;YES;NPE7-EAI-41MX-XXX-PD-XA-000016 - Waste Water;NPE7-EAI-41MX-XXX-PP-XA-007610;NPE7-EAI-41MX-XXX-PP-XA-007629;NPE7-EAI-41MX-XXX-IM-XA-007610;;Hold;PT;;TBD;TBD;;;;;;;;;;;;;;;;;;;Estimate;TBD;;A;P01;;24/03/2023
EA-I&C;B0GUA13CP002XQ01;B0GUA13CP002;XQ01;Rain Wtr Pmps Disch Fltr DP                     ;Rain Water Pumps Discharge Filter Differential Pressure;N/A;N/A;;;AI;4-20mA;         S;;;B0CRM01GH002;;TBD;TBD;TBD;TBD;TBD;TBD;;;YES;NPE7-EAI-41MX-XXX-PD-XA-000016 - Waste Water;NPE7-EAI-41MX-XXX-PP-XA-007610;NPE7-EAI-41MX-XXX-PP-XA-007629;NPE7-EAI-41MX-XXX-IM-XA-007610;;Hold;PT;;TBD;TBD;;;;;;;;;;;;;;;;;;;Estimate;TBD;;A;P01;;24/03/2023
Sampling Supplier;B0GUA13CQ001XQ01;B0GUA13CQ001;XQ01;Rain Wtr Reused Wtr Tank Cl                     ;Rain Water Reused Water Tank Chlorine;N/A;N/A;;;AI;4-20mA;         S;;;B0CRM01GH002;;TBD;TBD;TBD;TBD;TBD;TBD;;;YES;NPE7-EAI-41MX-XXX-PD-XA-000016 - Waste Water;NPE7-EAI-41MX-XXX-PP-XA-007610;NPE7-EAI-41MX-XXX-PP-XA-007629;NPE7-EAI-41MX-XXX-IM-XA-007610;;Hold;QT;;TBD;TBD;;;;;;;;;;;;;;;;;;;Estimate;TBD;;A;P01;;24/03/2023
Pressure Group Supplier;B0GUA20BU001XB01;B0GUA20BU001;XB01;Rain Wtr Press Grp                                   ;Rain Water Pressure Group;Pump1 Running;;;;DI;24VDC;         S;;;B0CRM01GH002;;N/A;N/A;N/A;N/A;N/A;N/A;;;YES;NPE7-EAI-41MX-XXX-PD-XA-000016 - Waste Water;NPE7-EAI-41MX-XXX-PP-XA-007610;NPE7-EAI-41MX-XXX-PP-XA-007629;NPE7-EAI-41MX-XXX-IM-XA-007610;;N/A;-;;TBD;TBD;;;;;;;;;;;;;;;;;;;Estimate;TBD;;A;P01;;24/03/2023
Pressure Group Supplier;B0GUA20BU001XB02;B0GUA20BU001;XB02;Rain Wtr Press Grp                                   ;Rain Water Pressure Group;Pump2 Running;;;;DI;24VDC;         S;;;B0CRM01GH002;;N/A;N/A;N/A;N/A;N/A;N/A;;;YES;NPE7-EAI-41MX-XXX-PD-XA-000016 - Waste Water;NPE7-EAI-41MX-XXX-PP-XA-007610;NPE7-EAI-41MX-XXX-PP-XA-007629;NPE7-EAI-41MX-XXX-IM-XA-007610;;N/A;-;;TBD;TBD;;;;;;;;;;;;;;;;;;;Estimate;TBD;;A;P01;;24/03/2023
Pressure Group Supplier;B0GUA20BU001XB33;B0GUA20BU001;XB33;Rain Wtr Press Grp                                   ;Rain Water Pressure Group;n Anomaly;Anomaly;;;DI;24VDC;         S;;;B0CRM01GH002;;N/A;N/A;N/A;N/A;N/A;N/A;;;YES;NPE7-EAI-41MX-XXX-PD-XA-000016 - Waste Water;NPE7-EAI-41MX-XXX-PP-XA-007610;NPE7-EAI-41MX-XXX-PP-XA-007629;NPE7-EAI-41MX-XXX-IM-XA-007610;;N/A;-;;TBD;TBD;;;;;;;;;;;;;;;;;;;Estimate;TBD;;A;P01;;24/03/2023
Pressure Group Supplier;B0GUA20BU001YB45;B0GUA20BU001;YB45;Rain Wtr Press Grp;Rain Water Pressure Group;Start Permissive;;;;DO;24VDC;         S;;;B0CRM01GH002;;N/A;N/A;N/A;N/A;N/A;N/A;;;YES;NPE7-EAI-41MX-XXX-PD-XA-000016 - Waste Water;NPE7-EAI-41MX-XXX-PP-XA-007610;NPE7-EAI-41MX-XXX-PP-XA-007629;NPE7-EAI-41MX-XXX-IM-XA-007610;;N/A;-;;TBD;TBD;;;;;;;;;;;;;;;;;;;Estimate;TBD;;A;P01;;24/03/2023
EA-I&C;B0GUA31AA302XB01;B0GUA31AA302;XB01;Rain Wtr Pmps Disch Fltr MOV                 ;Rain Water Pumps Discharge Filter Motor Operated Valve;Open;;;;DI;24VDC;         S;;;B0CRM01GH002;;N/A;N/A;N/A;N/A;N/A;N/A;;;YES;NPE7-EAI-41MX-XXX-PD-XA-000016 - Waste Water;NPE7-EAI-41MX-XXX-PP-XA-007610;NPE7-EAI-41MX-XXX-PP-XA-007629;NPE7-EAI-41MX-XXX-IM-XA-007610;;N/A;-;;TBD;TBD;;;;;;;;;;;;;;;;;;;Estimate;TBD;;A;P01;;24/03/2023
EA-I&C;B0GUA31AA302XB02;B0GUA31AA302;XB02;Rain Wtr Pmps Disch Fltr MOV                 ;Rain Water Pumps Discharge Filter Motor Operated Valve;Closed;;;;DI;24VDC;         S;;;B0CRM01GH002;;N/A;N/A;N/A;N/A;N/A;N/A;;;YES;NPE7-EAI-41MX-XXX-PD-XA-000016 - Waste Water;NPE7-EAI-41MX-XXX-PP-XA-007610;NPE7-EAI-41MX-XXX-PP-XA-007629;NPE7-EAI-41MX-XXX-IM-XA-007610;;N/A;-;;TBD;TBD;;;;;;;;;;;;;;;;;;;Estimate;TBD;;A;P01;;24/03/2023
EA-I&C;B0GUA31AA302XB07;B0GUA31AA302;XB07;Rain Wtr Pmps Disch Fltr MOV                ;Rain Water Pumps Discharge Filter Motor Operated Valve;Actuator Fault;;;;DI;24VDC;         S;;;B0CRM01GH002;;N/A;N/A;N/A;N/A;N/A;N/A;;;YES;NPE7-EAI-41MX-XXX-PD-XA-000016 - Waste Water;NPE7-EAI-41MX-XXX-PP-XA-007610;NPE7-EAI-41MX-XXX-PP-XA-007629;NPE7-EAI-41MX-XXX-IM-XA-007610;;N/A;-;;TBD;TBD;;;;;;;;;;;;;;;;;;;Estimate;TBD;;A;P01;;24/03/2023
