,,,-6.59999996E-3,-39.99999911E-3,,,,,-6.59999996E-3,-79.999998212E-3,
,,,-6.59000035E-3,-79.999998212E-3,,,,,-6.59000035E-3,-79.999998212E-3,
,,,-6.58000028E-3,-79.999998212E-3,,,,,-6.58000028E-3,-79.999998212E-3,
,,,-6.57000020E-3,-39.99999911E-3,,,,,-6.57000020E-3,0.0,
,,,-6.56000013E-3,-39.99999911E-3,,,,,-6.56000013E-3,0.0,
,,,-6.55000005E-3,-39.99999911E-3,,,,,-6.55000005E-3,0.0,
,,,-6.53999997E-3,-39.99999911E-3,,,,,-6.53999997E-3,-79.999998212E-3,
,,,-6.53000036E-3,-39.99999911E-3,,,,,-6.53000036E-3,0.0,
,,,-6.52000029E-3,-39.99999911E-3,,,,,-6.52000029E-3,0.0,
,,,-6.51000021E-3,-39.99999911E-3,,,,,-6.51000021E-3,0.0,
,,,-6.50000013E-3,-39.99999911E-3,,,,,-6.50000013E-3,-79.999998212E-3,
,,,-6.49000006E-3,-39.99999911E-3,,,,,-6.49000006E-3,0.0,
,,,-6.47999998E-3,-39.99999911E-3,,,,,-6.47999998E-3,-79.999998212E-3,
,,,-6.47000037E-3,-39.99999911E-3,,,,,-6.47000037E-3,0.0,
,,,-6.46000030E-3,-79.999998212E-3,,,,,-6.46000030E-3,0.0,
,,,-6.45000022E-3,-39.99999911E-3,,,,,-6.45000022E-3,0.0,
,,,-6.44000014E-3,-39.99999911E-3,,,,,-6.44000014E-3,0.0,
,,,-6.43000007E-3,-39.99999911E-3,,,,,-6.43000007E-3,-79.999998212E-3,
,,,-6.41999999E-3,-79.999998212E-3,,,,,-6.41999999E-3,-79.999998212E-3,
,,,-6.41000038E-3,-79.999998212E-3,,,,,-6.41000038E-3,0.0,
,,,-6.40000030E-3,-39.99999911E-3,,,,,-6.40000030E-3,-79.999998212E-3,
,,,-6.39000023E-3,-39.99999911E-3,,,,,-6.39000023E-3,-79.999998212E-3,
,,,-6.38000015E-3,-39.99999911E-3,,,,,-6.38000015E-3,0.0,
,,,-6.37000008E-3,-39.99999911E-3,,,,,-6.37000008E-3,0.0,
,,,-6.36000000E-3,-39.99999911E-3,,,,,-6.36000000E-3,0.0,
,,,-6.35000039E-3,-79.999998212E-3,,,,,-6.35000039E-3,0.0,
,,,-6.34000031E-3,-39.99999911E-3,,,,,-6.34000031E-3,-79.999998212E-3,
,,,-6.33000024E-3,-39.99999911E-3,,,,,-6.33000024E-3,-79.999998212E-3,
,,,-6.32000016E-3,-79.999998212E-3,,,,,-6.32000016E-3,-79.999998212E-3,
,,,-6.31000008E-3,-79.999998212E-3,,,,,-6.31000008E-3,0.0,
,,,-6.30000001E-3,-39.99999911E-3,,,,,-6.30000001E-3,-79.999998212E-3,
,,,-6.29000040E-3,-39.99999911E-3,,,,,-6.29000040E-3,-79.999998212E-3,
,,,-6.28000032E-3,-39.99999911E-3,,,,,-6.28000032E-3,0.0,
,,,-6.27000025E-3,-39.99999911E-3,,,,,-6.27000025E-3,0.0,
,,,-6.26000017E-3,-39.99999911E-3,,,,,-6.26000017E-3,0.0,
,,,-6.25000009E-3,-79.999998212E-3,,,,,-6.25000009E-3,-79.999998212E-3,
,,,-6.24000002E-3,-39.99999911E-3,,,,,-6.24000002E-3,-79.999998212E-3,
,,,-6.23000041E-3,-39.99999911E-3,,,,,-6.23000041E-3,0.0,
,,,-6.22000033E-3,-79.999998212E-3,,,,,-6.22000033E-3,0.0,
,,,-6.21000025E-3,-39.99999911E-3,,,,,-6.21000025E-3,0.0,
,,,-6.20000018E-3,-39.99999911E-3,,,,,-6.20000018E-3,-79.999998212E-3,
,,,-6.19000010E-3,-39.99999911E-3,,,,,-6.19000010E-3,0.0,
,,,-6.18000003E-3,-39.99999911E-3,,,,,-6.18000003E-3,0.0,
,,,-6.17000042E-3,-39.99999911E-3,,,,,-6.17000042E-3,0.0,
,,,-6.16000034E-3,-39.99999911E-3,,,,,-6.16000034E-3,0.0,
,,,-6.15000026E-3,-39.99999911E-3,,,,,-6.15000026E-3,-79.999998212E-3,
,,,-6.14000019E-3,-79.999998212E-3,,,,,-6.14000019E-3,-79.999998212E-3,
,,,-6.13000011E-3,-39.99999911E-3,,,,,-6.13000011E-3,-79.999998212E-3,
,,,-6.12000003E-3,-39.99999911E-3,,,,,-6.12000003E-3,-79.999998212E-3,
,,,-6.11000042E-3,-39.99999911E-3,,,,,-6.11000042E-3,0.0,
,,,-6.10000035E-3,-39.99999911E-3,,,,,-6.10000035E-3,0.0,
,,,-6.09000027E-3,-39.99999911E-3,,,,,-6.09000027E-3,0.0,
,,,-6.08000020E-3,-39.99999911E-3,,,,,-6.08000020E-3,0.0,
,,,-6.07000012E-3,-79.999998212E-3,,,,,-6.07000012E-3,-79.999998212E-3,
,,,-6.06000004E-3,-39.99999911E-3,,,,,-6.06000004E-3,-79.999998212E-3,
,,,-6.05000043E-3,-39.99999911E-3,,,,,-6.05000043E-3,0.0,
,,,-6.04000036E-3,-39.99999911E-3,,,,,-6.04000036E-3,0.0,
,,,-6.03000028E-3,-39.99999911E-3,,,,,-6.03000028E-3,0.0,
